ID_Punto,GESTIÓN,DISTRITO,same_as_wikidata_distrito,COD_DIS,BARRIO,same_as_wikidata_barrio,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
22PropDG,Concesión demanial,Moratalaz,https://wikidata.org/entity/Q2076109,14,Pavones,https://wikidata.org/entity/Q71760,1,Ejecutado,Calle Hacienda de Pavones 231 (enfrente del LIDL),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:10:15Z,"24"
27PropDG,Concesión demanial,Hortaleza,https://wikidata.org/entity/Q1928529,16,Pinar del Rey,https://wikidata.org/entity/Q10349788,4,Ejecutado,"Glorieta De Sandro Pertini (frente a edificio c/ Arequipa, 1)",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:09:34Z,"24"
30PropDG,Concesión demanial,Villaverde,https://wikidata.org/entity/Q919536,17,Los Rosales,https://wikidata.org/entity/Q10319807,4,Ejecutado,Calle de Santa Florencia (enfrente del 1),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-06-20T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:11:29Z,"24"
35PropDG,Concesión demanial,Vicálvaro,https://wikidata.org/entity/Q589403,19,Valderrivas,https://wikidata.org/entity/Q43025770,3,Ejecutado,"Calle de Minerva, 17",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-06-26T22:00:00Z,2022-02-03T15:21:24Z,2024-08-28T08:22:10Z,"24"
3MerM,Acuerdo bilateral,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,Parcela D.2.1 Anexo avenida de legazpi,Mercamadrid,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:56Z,"24"
5MerM,Acuerdo bilateral,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,Parcela E4 Anexo Avda Legazpi,Mercamadrid,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
6MerM,Acuerdo bilateral,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,Parcela B14 Anexo Calle 3,Mercamadrid,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC (CIRCUTOR),2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
07VP,Convenio vía pública,Retiro,https://wikidata.org/entity/Q2002296,3,Ibiza,https://wikidata.org/entity/Q15249910,4,Ejecutado,Calle Ibiza 1,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-07-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
09VP,Convenio vía pública,Retiro,https://wikidata.org/entity/Q2002296,3,Jerónimos,https://wikidata.org/entity/Q10306766,5,Ejecutado,"Plaza de la Lealtad, s/n",Vía pública,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-06-17T22:00:00Z,2022-02-03T15:21:24Z,2023-04-25T10:33:19Z,"24"
10CoCe20,Convenio cesión,Carabanchel,https://wikidata.org/entity/Q1001991,11,Buenavista,https://wikidata.org/entity/Q953929,6,Ejecutado,"Calle Hilario Herranz Establos, 20",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:58:24Z,"24"
08CoCe20,Convenio cesión,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682,9,Argüelles,https://wikidata.org/entity/Q64874,2,Ejecutado,"Calle Marqués de Urquijo, 27",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
19CoCe20,Convenio cesión,Villaverde,https://wikidata.org/entity/Q919536,17,"Villaverde Alto, Casco Histórico de Villaverde",https://wikidata.org/entity/Q390435,1,Ejecutado,"Calle Valle de Tobalina, 24 (ES Ballenoil)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2022-02-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
04CoCe20,Convenio cesión,Tetuán,https://wikidata.org/entity/Q1773540,6,Cuatro Caminos,https://wikidata.org/entity/Q5824684,2,Ejecutado,"Mercado Municipal de Maravillas, Calle Bravo Murillo 122",Mercado municipal,Mercado Municipal,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2022-07-31T22:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:32:52Z,"24"
11CoCe20,Convenio cesión,Usera,https://wikidata.org/entity/Q953368,12,Orcasur,https://wikidata.org/entity/Q10341270,2,Ejecutado,"Calle de Eduardo Barreiros, 2 (On rent)",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T07:00:12Z,"24"
05CoCe20,Convenio cesión,Tetuán,https://wikidata.org/entity/Q1773540,6,Cuatro Caminos,https://wikidata.org/entity/Q5824684,2,Ejecutado,"Avenida del General Perón, 21",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-11-16T23:00:00Z,2022-02-03T15:21:24Z,2022-11-22T07:40:58Z,"24"
12CoCe20,Convenio cesión,Usera,https://wikidata.org/entity/Q953368,12,Orcasur,https://wikidata.org/entity/Q10341270,2,Ejecutado,ES Avenida de Andalucía 38 - Carretera A-4 PK6.70 D,Estación de servicio,-,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:52:54Z,"24"
18CoCe20,Convenio cesión,Hortaleza,https://wikidata.org/entity/Q1928529,16,Apóstol Santiago,https://wikidata.org/entity/Q11906303,5,Ejecutado,"SEDE NATURGY, Av San Luis, 77",Aparcamiento,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2022-02-16T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,"de 6 a 24 h"
20CoCe20,Convenio cesión,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,"Atolón 98 (Mercamadrid), Calle 29.",Mercamadrid,-,3,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2022-04-24T22:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:14:33Z,"24"
15CoCe20,Convenio cesión,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,Ventas,https://wikidata.org/entity/Q71762,1,Ejecutado,"Estación de Servicio SUDEL, Calle Ricardo Ortiz, 44",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,Sudel,2023-01-19T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,"24"
17CoCe20,Convenio cesión,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,Colina,https://wikidata.org/entity/Q18475981,7,Ejecutado,"ES Calle Arturo Soria, 175",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-01-25T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:01:34Z,"24"
16CoCe20,Convenio cesión,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,San Pascual,https://wikidata.org/entity/Q165612,5,Ejecutado,Calle Verdaguer y García 5 (Ipark-Verdaguer ampliación),Aparcamiento,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-02-05T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,"24"
14CoCe20,Convenio cesión,Moratalaz,https://wikidata.org/entity/Q2076109,14,Marroquina,https://wikidata.org/entity/Q11935636,3,Ejecutado,CRE Moratalaz Glorieta del Corregidor Sancho de Córdoba,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,"24"
23CoCe20,Convenio cesión,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,"Avenida Mayorazgo, 20",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2023-09-01T23:00:00Z,2022-02-03T15:21:24Z,2023-02-17T08:29:15Z,"24"
27CoCe20,Convenio cesión,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,20,Simancas,https://wikidata.org/entity/Q10371626,1,Ejecutado,"Avenida Arcentales, 7",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2023-09-01T23:00:00Z,2022-02-03T15:21:24Z,2023-02-17T08:30:11Z,"24"
26CoCe20,Convenio cesión,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,20,Simancas,https://wikidata.org/entity/Q10371626,1,Ejecutado,Calle Alcalá 510 (CRED San Blas),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,"24"
28CoCe20,Convenio cesión,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,20,Arcos,https://wikidata.org/entity/Q9627876,4,Ejecutado,"Avenida Canillejas a Vicálvaro, 80",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2022-09-15T22:00:00Z,2022-02-03T15:21:24Z,2022-10-10T06:58:48Z,"24"
29CoCe20,Convenio cesión,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,20,Rosas,https://wikidata.org/entity/Q18880469,5,Ejecutado,"Avenida Canillejas a Vicálvaro, 147",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,Cerdeira,2022-03-17T23:00:00Z,2022-02-03T15:21:24Z,2023-12-01T08:39:23Z,"24"
24CoCe20,Convenio cesión,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Ensanche de Vallecas,https://wikidata.org/entity/Q3847485,3,Ejecutado,"Calle Alto del Retiro, s/n",Estación de servicio,-,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
30CoCe20,Convenio cesión,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,20,Rejas,https://wikidata.org/entity/Q10359029,6,Ejecutado,"CENTRO DE OPERACIONES NATURGY, Calle Deyanira, 10",Aparcamiento,-,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2022-09-05T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,"24"
31CoCe20,Convenio cesión,San Blas-Canillejas,https://wikidata.org/entity/Q2001937,20,Rejas,https://wikidata.org/entity/Q10359029,6,Ejecutado,"Calle Nanclares de Oca, 5-17",Aparcamiento,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2021-05-08T22:00:00Z,2022-02-03T15:21:24Z,2022-06-17T07:02:25Z,
21CoCe20,Convenio cesión,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,1,Ejecutado,"ESTACIÓN DE SUMINISTRO GNC (CTM), Avenida Eje Central, 7",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2022-01-08T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,"24"
01VP,Convenio vía pública,Centro,https://wikidata.org/entity/Q1763376,1,Justicia,https://wikidata.org/entity/Q1992319,4,Ejecutado,Calle Génova 24,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2018-03-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,"24"
31PropDG,Concesión demanial,Villaverde,https://wikidata.org/entity/Q919536,17,San Cristóbal,https://wikidata.org/entity/Q390457,2,Ejecutado,Calle Godella 116,Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-06-08T22:00:00Z,2022-02-03T15:21:24Z,2024-08-28T08:23:42Z,"24"
26VP,Convenio vía pública,Salamanca,https://wikidata.org/entity/Q1773521,4,La Guindalera,https://wikidata.org/entity/Q3814559,4,Ejecutado,"Calle de Roberto Domingo, 4",Vía pública,,2,1 equipo de 150 kW (DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A)) y 1 equipo de 50 kW (DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW)),REPSOL,2022-11-30T23:00:00Z,2022-02-03T15:21:24Z,2023-01-16T12:43:31Z,"24"
12PRIV,Iniciativa privada,Tetuán,https://wikidata.org/entity/Q1773540,6,Almenara,https://wikidata.org/entity/Q2265427,4,Ejecutado,"Calle San Aquilino, 1 B",Aparcamiento,Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2021-10-20T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,
13PRIV,Iniciativa privada,Chamartín,https://wikidata.org/entity/Q1766348,5,Prosperidad,https://wikidata.org/entity/Q4776,2,Ejecutado,"Avenida de América 9 A, planta -3",Aparcamiento,Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2021-07-15T22:00:00Z,2022-02-03T15:21:24Z,2022-04-28T12:42:55Z,
7MerM,Acuerdo bilateral,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,18,Ejecutado,Avda. de Madrid - Aparcamiento Este del Mercado Central de Pescados (Parcela C2),Mercamadrid,,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,,2022-06-27T22:00:00Z,2022-06-17T07:19:00Z,2022-10-27T10:42:43Z,"24"
1CoCe22,Convenio cesión,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,El Pilar,https://wikidata.org/entity/Q3773964,8,Ejecutado,"CENTRO COMERCIAL MADRID 2 - LA VAGUADA. Av. de Monforte de Lemos, 36",Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),CC LA VAGUADA,2023-02-15T23:00:00Z,2022-06-17T11:04:15Z,2023-08-09T10:03:10Z,"de 6:00 a 1:00 a.m."
8MerM,Acuerdo bilateral,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,18,Ejecutado,Avda. de Madrid - Aparcamiento Este del Mercado Central  de Pescados (Parcela C2)  Mercamadrid.,Mercamadrid,,1,150 kW DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),,2022-10-31T23:00:00Z,2022-06-17T07:22:02Z,2022-11-21T15:34:01Z,"24"
2CoCe22,Convenio cesión,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,El Goloso,https://wikidata.org/entity/Q10271137,8,Ejecutado,CAMPUS CANTOBLANCO – RECTORADO,Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),UAM,2023-11-20T23:00:00Z,2022-06-17T11:12:42Z,2023-04-12T07:47:35Z,"24"
5CoCe22,Convenio Cesión,Barajas,https://wikidata.org/entity/Q807230,21,Corralejos,https://wikidata.org/entity/Q10260772,21,Ejecutado,C/Vía Dublín s/n. Club de golf Olivar de la Hinojosa.,Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),BLAUDRIVE,2023-01-30T23:00:00Z,2022-06-24T06:57:35Z,2023-01-31T07:18:52Z,"de 7:30h a 21:00h"
8CoCe22,Convenio Cesión,Usera,https://wikidata.org/entity/Q953368,12,Moscardó,https://wikidata.org/entity/Q11937679,12,Ejecutado,"Calle Amparo Usera, 46. Mercado Usera",Mercado municipal,,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),BLAUDRIVE,,2022-06-24T07:05:24Z,2023-11-13T14:15:56Z,"24"
16CoCe22,Convenio Cesión,Latina,https://wikidata.org/entity/Q794954,10,Aluche,https://wikidata.org/entity/Q31140,10,Ejecutado,"Ctra A-5, Km 5.4. Estación de Servicio El Batán",Estación de servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2024-01-30T23:00:00Z,2022-06-24T07:49:04Z,2024-04-03T11:51:08Z,"24"
29CoCe22,Convenio Cesión,Ciudad Lineal,https://wikidata.org/entity/Q1763694,15,San Juan Bautista,https://wikidata.org/entity/Q165609,15,Ejecutado,"Hospital Vithas Clinsa SA. Calle de Ramírez de Arellano, 2",Aparcamiento,,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),ENDESA X SERVICIOS S.L.,2024-10-03T23:00:00Z,2022-08-23T07:30:47Z,2024-03-21T14:30:31Z,
34CoCe22,Convenio Cesión,Salamanca,https://wikidata.org/entity/Q1773521,4,Castellana,https://wikidata.org/entity/Q4781,4,Ejecutado,"C.C. ABC SERRANO. Calle Serrano, 61",Aparcamiento,,1,"Conectores: DC- CCS Combo 2, 50 kW y CHAdeMO 50 kW.  Toma: AC- Tipo 2, 22 kW",ENDESA X SERVICIOS S.L.,2023-05-11T23:00:00Z,2022-08-23T07:40:46Z,2024-03-21T14:38:03Z,
14PRIV,Iniciativa privada,Villa de Vallecas,https://wikidata.org/entity/Q1947988,18,Casco Histórico de Vallecas,https://wikidata.org/entity/Q16544370,18,Ejecutado,Calle 29. Mercamadrid,Aparcamiento,Iniciativa privada,1,180 kW 2 conectores CC (CCS),DRIVE THE CITY,2022-04-24T22:00:00Z,2022-04-28T12:46:34Z,2022-11-21T15:35:01Z,"24"
3CoCe22,Convenio cesión,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,El Goloso,https://wikidata.org/entity/Q10271137,8,Ejecutado,CAMPUS CANTOBLANCO – DERECHO,Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),UAM,2023-11-20T23:00:00Z,2022-06-17T11:14:10Z,2023-04-12T07:46:59Z,"24"
6CoCe22,Convenio Cesión,Puente de Vallecas,https://wikidata.org/entity/Q2003054,13,San Diego,https://wikidata.org/entity/Q11946851,13,Ejecutado,"Calle Martínez de la Riva, 4. Mercado Puente de Vallecas",Mercado municipal,,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),BLAUDRIVE,2023-05-07T22:00:00Z,2022-06-24T07:01:08Z,2024-02-02T08:21:26Z,"De lunes a sábados, de 9:00h – 21:30h"
20CoCe22,Convenio Cesión,Chamartín,https://wikidata.org/entity/Q1766348,5,El Viso,https://wikidata.org/entity/Q4778,5,Ejecutado,"E.S. ESMO, S.A. Calle María de Molina 21",Estación de servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2024-01-30T23:00:00Z,2022-06-24T07:57:55Z,2024-04-03T11:51:44Z,"24"
05EMT,EMT,Centro,https://wikidata.org/entity/Q1763376,1,Sol,https://wikidata.org/entity/Q2465181,1,Ejecutado,Calle Alcalá 17. Parking de Canalejas.,Aparcamiento,Aparcamiento,12,"4 equipos 400 kW, 4 equipos 200 kW, 4 equipos 50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes",EMT,2022-07-11T23:00:00Z,2022-12-20T08:04:03Z,2023-08-09T10:39:25Z,"24"
33CoCe20,Convenio cesión,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196,8,Peñagrande,https://wikidata.org/entity/Q3319582,8,Ejecutado,ES Cardenal Herrera Oria. Avenida Cardenal Herrera Oria 290,Estación de Servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2023-09-10T22:00:00Z,2023-02-27T12:05:31Z,2024-01-15T13:03:49Z,"24"
06EMT,EMT,Salamanca,https://wikidata.org/entity/Q1773521,4,Recoletos,https://wikidata.org/entity/Q3814551,4,Ejecutado,Paseo Recoletos 4,Aparcamiento,Aparcamiento público rotación. EMT,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2024-06-20T22:00:00Z,2024-06-24T07:16:21Z,2024-06-24T07:16:21Z,"24"
