ID_Punto,GESTIÓN,DISTRITO,COD_DIS,BARRIO,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
22PropDG,Concesión demanial,Moratalaz,14,Pavones,1,Ejecutado,Calle Hacienda de Pavones 231 (enfrente del LIDL),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:10:15Z,24
27PropDG,Concesión demanial,Hortaleza,16,Pinar del Rey,4,Ejecutado,"Glorieta De Sandro Pertini (frente a edificio c/ Arequipa, 1)",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-06T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:09:34Z,24
30PropDG,Concesión demanial,Villaverde,17,Los Rosales,4,Ejecutado,Calle de Santa Florencia (enfrente del 1),Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-06-20T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:11:29Z,24
35PropDG,Concesión demanial,Vicálvaro,19,Valderrivas,3,Ejecutado,"Calle de Minerva, 17",Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-06-26T22:00:00Z,2022-02-03T15:21:24Z,2024-08-28T08:22:10Z,24
3MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,Parcela D.2.1 Anexo avenida de legazpi,Mercamadrid,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:56Z,24
5MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,Parcela E4 Anexo Avda Legazpi,Mercamadrid,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
6MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,Parcela B14 Anexo Calle 3,Mercamadrid,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC (CIRCUTOR),2021-08-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
07VP,Convenio vía pública,Retiro,3,Ibiza,4,Ejecutado,Calle Ibiza 1,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-07-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
09VP,Convenio vía pública,Retiro,3,Jerónimos,5,Ejecutado,"Plaza de la Lealtad, s/n",Vía pública,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-06-17T22:00:00Z,2022-02-03T15:21:24Z,2023-04-25T10:33:19Z,24
10CoCe20,Convenio cesión,Carabanchel,11,Buenavista,6,Ejecutado,"Calle Hilario Herranz Establos, 20",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T06:58:24Z,24
08CoCe20,Convenio cesión,Moncloa - Aravaca,9,Argüelles,2,Ejecutado,"Calle Marqués de Urquijo, 27",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
19CoCe20,Convenio cesión,Villaverde,17,"Villaverde Alto, Casco Histórico de Villaverde",1,Ejecutado,"Calle Valle de Tobalina, 24 (ES Ballenoil)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2022-02-28T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
04CoCe20,Convenio cesión,Tetuán,6,Cuatro Caminos,2,Ejecutado,"Mercado Municipal de Maravillas, Calle Bravo Murillo 122",Mercado municipal,Mercado Municipal,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2022-07-31T22:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:32:52Z,24
11CoCe20,Convenio cesión,Usera,12,Orcasur,2,Ejecutado,"Calle de Eduardo Barreiros, 2 (On rent)",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-06-17T07:00:12Z,24
05CoCe20,Convenio cesión,Tetuán,6,Cuatro Caminos,2,Ejecutado,"Avenida del General Perón, 21",Aparcamiento,Aparcamiento privado rotación,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-11-16T23:00:00Z,2022-02-03T15:21:24Z,2022-11-22T07:40:58Z,24
12CoCe20,Convenio cesión,Usera,12,Orcasur,2,Ejecutado,ES Avenida de Andalucía 38 - Carretera A-4 PK6.70 D,Estación de servicio,-,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:52:54Z,24
18CoCe20,Convenio cesión,Hortaleza,16,Apostol Santiago,5,Ejecutado,"SEDE NATURGY, Av San Luis, 77",Aparcamiento,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2022-02-16T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,de 6 a 24 h
20CoCe20,Convenio cesión,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,"Atolón 98 (Mercamadrid), Calle 29.",Mercamadrid,-,3,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,DRIVE THE CITY,2022-04-24T22:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:14:33Z,24
15CoCe20,Convenio cesión,Ciudad Lineal,15,Ventas,1,Ejecutado,"Estación de Servicio SUDEL, Calle Ricardo Ortiz, 44",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,Sudel,2023-01-19T23:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,24
17CoCe20,Convenio cesión,Ciudad Lineal,15,Colina,7,Ejecutado,"ES Calle Arturo Soria, 175",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-01-25T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:01:34Z,24
16CoCe20,Convenio cesión,Ciudad Lineal,15,San Pascual,5,Ejecutado,Calle Verdaguer y García 5 (Ipark-Verdaguer ampliación),Aparcamiento,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-02-05T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,24
14CoCe20,Convenio cesión,Moratalaz,14,Marroquina,3,Ejecutado,CRE Moratalaz Glorieta del Corregidor Sancho de Córdoba,Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,24
23CoCe20,Convenio cesión,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,"Avenida Mayorazgo, 20",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2023-09-01T23:00:00Z,2022-02-03T15:21:24Z,2023-02-17T08:29:15Z,24
27CoCe20,Convenio cesión,San Blas - Canillejas,20,Simancas,1,Ejecutado,"Avenida Arcentales, 7",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2023-09-01T23:00:00Z,2022-02-03T15:21:24Z,2023-02-17T08:30:11Z,24
26CoCe20,Convenio cesión,San Blas - Canillejas,20,Simancas,1,Ejecutado,Calle Alcalá 510 (CRED San Blas),Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-07-14T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,24
28CoCe20,Convenio cesión,San Blas - Canillejas,20,Arcos,4,Ejecutado,"Avenida Canillejas a Vicálvaro, 80",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GALP,2022-09-15T22:00:00Z,2022-02-03T15:21:24Z,2022-10-10T06:58:48Z,24
29CoCe20,Convenio cesión,San Blas - Canillejas,20,Rosas,5,Ejecutado,"Avenida Canillejas a Vicálvaro, 147",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,Cerdeira,2022-03-17T23:00:00Z,2022-02-03T15:21:24Z,2023-12-01T08:39:23Z,24
24CoCe20,Convenio cesión,Villa de Vallecas,18,Ensanche de Vallecas,3,Ejecutado,"Calle Alto del Retiro, s/n",Estación de servicio,-,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-21T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
30CoCe20,Convenio cesión,San Blas - Canillejas,20,Rejas,6,Ejecutado,"CENTRO DE OPERACIONES NATURGY, Calle Deyanira, 10",Aparcamiento,-,1,50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2022-09-05T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:58:24Z,24
31CoCe20,Convenio cesión,San Blas - Canillejas,20,Rejas,6,Ejecutado,"Calle Nanclares de Oca, 5-17",Aparcamiento,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2021-05-08T22:00:00Z,2022-02-03T15:21:24Z,2022-06-17T07:02:25Z,
21CoCe20,Convenio cesión,Villa de Vallecas,18,Casco Histórico de Vallecas,1,Ejecutado,"ESTACIÓN DE SUMINISTRO GNC (CTM), Avenida Eje Central, 7",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,NATURGY,2022-01-08T22:00:00Z,2022-02-03T15:21:24Z,2023-07-09T11:56:59Z,24
01VP,Convenio vía pública,Centro,1,Justicia,4,Ejecutado,Calle Génova 24,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2018-03-16T00:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,24
31PropDG,Concesión demanial,Villaverde,17,San Cristóbal,2,Ejecutado,Calle Godella 116,Vía pública,,3,"2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",TOTALENERGIES,2024-06-08T22:00:00Z,2022-02-03T15:21:24Z,2024-08-28T08:23:42Z,24
26VP,Convenio vía pública,Salamanca,4,Guindalera,4,Ejecutado,"Calle de Roberto Domingo, 4",Vía pública,,2,1 equipo de 150 kW (DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A)) y 1 equipo de 50 kW (DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW)),REPSOL,2022-11-30T23:00:00Z,2022-02-03T15:21:24Z,2023-01-16T12:43:31Z,24
12PRIV,Iniciativa privada,Tetuán,6,Almenara,4,Ejecutado,"Calle San Aquilino, 1 B",Aparcamiento,Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2021-10-20T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:57Z,
13PRIV,Iniciativa privada,Chamartín,5,Prosperidad,2,Ejecutado,"Avenida de América 9 A, planta -3",Aparcamiento,Iniciativa privada,2,50 kW 2 conectores CC (CCS/Chademo),IBERDROLA,2021-07-15T22:00:00Z,2022-02-03T15:21:24Z,2022-04-28T12:42:55Z,
7MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,18,Ejecutado,Avda. de Madrid - Aparcamiento Este del Mercado Central de Pescados (Parcela C2),Mercamadrid,,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,,2022-06-27T22:00:00Z,2022-06-17T07:19:00Z,2022-10-27T10:42:43Z,24
1CoCe22,Convenio cesión,Fuencarral - El Pardo,8,Pilar,8,Ejecutado,"CENTRO COMERCIAL MADRID 2 - LA VAGUADA. Av. de Monforte de Lemos, 36",Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),CC LA VAGUADA,2023-02-15T23:00:00Z,2022-06-17T11:04:15Z,2023-08-09T10:03:10Z,de 6:00 a 1:00 a.m.
8MerM,Acuerdo bilateral,Villa de Vallecas,18,Casco Histórico de Vallecas,18,Ejecutado,Avda. de Madrid - Aparcamiento Este del Mercado Central  de Pescados (Parcela C2)  Mercamadrid.,Mercamadrid,,1,150 kW DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),,2022-10-31T23:00:00Z,2022-06-17T07:22:02Z,2022-11-21T15:34:01Z,24
2CoCe22,Convenio cesión,Fuencarral - El Pardo,8,El Goloso,8,Ejecutado,CAMPUS CANTOBLANCO – RECTORADO,Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),UAM,2023-11-20T23:00:00Z,2022-06-17T11:12:42Z,2023-04-12T07:47:35Z,24
5CoCe22,Convenio Cesión,Barajas,21,Corralejos,21,Ejecutado,C/Vía Dublín s/n. Club de golf Olivar de la Hinojosa.,Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW),BLAUDRIVE,2023-01-30T23:00:00Z,2022-06-24T06:57:35Z,2023-01-31T07:18:52Z,de 7:30h a 21:00h
8CoCe22,Convenio Cesión,Usera,12,Moscardó,12,Ejecutado,"Calle Amparo Usera, 46. Mercado Usera",Mercado municipal,,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),BLAUDRIVE,,2022-06-24T07:05:24Z,2023-11-13T14:15:56Z,24
16CoCe22,Convenio Cesión,Latina,10,Aluche,10,Ejecutado,"Ctra A-5, Km 5.4. Estación de Servicio El Batán",Estación de servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2024-01-30T23:00:00Z,2022-06-24T07:49:04Z,2024-04-03T11:51:08Z,24
29CoCe22,Convenio Cesión,Ciudad Lineal,15,San Juan Bautista,15,Ejecutado,"Hospital Vithas Clinsa SA. Calle de Ramírez de Arellano, 2",Aparcamiento,,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),ENDESA X SERVICIOS S.L.,2024-10-03T23:00:00Z,2022-08-23T07:30:47Z,2024-03-21T14:30:31Z,
34CoCe22,Convenio Cesión,Salamanca,4,Castellana,4,Ejecutado,"C.C. ABC SERRANO. Calle Serrano, 61",Aparcamiento,,1,"Conectores: DC- CCS Combo 2, 50 kW y CHAdeMO 50 kW.  Toma: AC- Tipo 2, 22 kW",ENDESA X SERVICIOS S.L.,2023-05-11T23:00:00Z,2022-08-23T07:40:46Z,2024-03-21T14:38:03Z,
14PRIV,Iniciativa privada,Villa de Vallecas,18,Casco Histórico de Vallecas,18,Ejecutado,Calle 29. Mercamadrid,Aparcamiento,Iniciativa privada,1,180 kW 2 conectores CC (CCS),DRIVE THE CITY,2022-04-24T22:00:00Z,2022-04-28T12:46:34Z,2022-11-21T15:35:01Z,24
3CoCe22,Convenio cesión,Fuencarral - El Pardo,8,El Goloso,8,Ejecutado,CAMPUS CANTOBLANCO – DERECHO,Aparcamiento,,2,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW),UAM,2023-11-20T23:00:00Z,2022-06-17T11:14:10Z,2023-04-12T07:46:59Z,24
6CoCe22,Convenio Cesión,Puente de Vallecas,13,San Diego,13,Ejecutado,"Calle Martínez de la Riva, 4. Mercado Puente de Vallecas",Mercado municipal,,1,DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW),BLAUDRIVE,2023-05-07T22:00:00Z,2022-06-24T07:01:08Z,2024-02-02T08:21:26Z,"De lunes a sábados, de 9:00h – 21:30h"
20CoCe22,Convenio Cesión,Chamartín,5,El Viso,5,Ejecutado,"E.S. ESMO, S.A. Calle María de Molina 21",Estación de servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2024-01-30T23:00:00Z,2022-06-24T07:57:55Z,2024-04-03T11:51:44Z,24
05EMT,EMT,Centro,1,Sol,1,Ejecutado,Calle Alcalá 17. Parking de Canalejas.,Aparcamiento,Aparcamiento,12,"4 equipos 400 kW, 4 equipos 200 kW, 4 equipos 50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes",EMT,2022-07-11T23:00:00Z,2022-12-20T08:04:03Z,2023-08-09T10:39:25Z,24
33CoCe20,Convenio cesión,Fuencarral - El Pardo,8,Peñagrande,8,Ejecutado,ES Cardenal Herrera Oria. Avenida Cardenal Herrera Oria 290,Estación de Servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2023-09-10T22:00:00Z,2023-02-27T12:05:31Z,2024-01-15T13:03:49Z,24
06EMT,EMT,Salamanca,4,Recoletos,4,Ejecutado,Paseo Recoletos 4,Aparcamiento,Aparcamiento público rotación. EMT,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,EMT,2024-06-20T22:00:00Z,2024-06-24T07:16:21Z,2024-06-24T07:16:21Z,24
