OID_;ID_Punto;DISTRITO;BARRIO;ESTADO;UBICACIÓN;EMPLAZAMIENTO;INFO_ADICIONAL;Nº_EQUIPOS;CARACTERÍSTICAS_EQUIPO;OPERADOR;GESTIÓN;INFO_FECHA_APERTURA;FECHA_APERTURA;FECHA_ALTA;FECHA_EDICION;COD_DIS;COD_BAR;HORARIO
3793;22 PropDG;Moratalaz;Pavones;Ejecutado;Calle Hacienda de Pavones 231 (enfrente del LIDL);Vía pública;;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;Concesión demanial;jun-24;05/06/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:10:15;14;1;24
3798;27 PropDG;Hortaleza;Pinar del Rey;Ejecutado;Glorieta De Sandro Pertini (frente a edificio c/ Arequipa, 1);Vía pública;;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;Concesión demanial;jun-24;05/06/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:09:34;16;4;24
3801;30 PropDG;Villaverde;Los Rosales;Ejecutado;Calle de Santa Florencia (enfrente del 1);Vía pública;;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;Concesión demanial;jun-24;20/06/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:11:29;17;4;24
3804;35 PropDG;Vicálvaro;Valderrivas;Ejecutado;Calle de Minerva, 17;Vía pública;;3;2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;TOTALENERGIES;Concesión demanial;jun-24;26/06/2024 22:00:00;02/03/2022 15:21:24;28/08/2024 8:22:10;19;3;24
3807;3 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Parcela D.2.1 Anexo avenida de legazpi;Mercamadrid;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Acuerdo bilateral;ago-21;16/08/2021 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:56;18;1;24
3808;5 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Parcela E4 Anexo Avda Legazpi;Mercamadrid;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Acuerdo bilateral;ago-21;16/08/2021 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;18;1;24
3809;6 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Parcela B14 Anexo Calle 3;Mercamadrid;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC (CIRCUTOR);Acuerdo bilateral;ago-21;16/08/2021 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;18;1;24
3810;07 VP;Retiro;Ibiza;Ejecutado;Calle Ibiza 1;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;nov-19;07/11/2019 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;03;4;24
3811;09 VP;Retiro;Jerónimos;Ejecutado;Plaza de la Lealtad, s/n;Vía pública;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;jun-19;17/06/2019 22:00:00;02/03/2022 15:21:24;25/04/2023 10:33:19;03;5;24
3812;10 CoCe20;Carabanchel;Buenavista;Ejecutado;Calle Hilario Herranz Establos, 20;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;21/01/2022 informan;21/01/2022 0:00:00;02/03/2022 15:21:24;17/06/2022 6:58:24;11;6;24
3814;08 CoCe20;Moncloa - Aravaca;Argüelles;Ejecutado;Calle Marqués de Urquijo, 27;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;21/01/2022 informan;21/01/2022 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;09;2;24
3815;19 CoCe20;Villaverde;Villaverde Alto, Casco Histórico de Villaverde;Ejecutado;Calle Valle de Tobalina, 24 (ES Ballenoil);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;Convenio cesión;01/03/2022;28/02/2022 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;17;1;24
3816;04 CoCe20;Tetuán;Cuatro Caminos;Ejecutado;Mercado Municipal de Maravillas, Calle Bravo Murillo 122;Mercado municipal;Mercado Municipal;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Convenio cesión;ago-22;31/07/2022 22:00:00;02/03/2022 15:21:24;08/09/2023 11:32:52;06;2;24
3818;11 CoCe20;Usera;Orcasur;Ejecutado;Calle de Eduardo Barreiros, 2 (On rent);Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;21/01/2022 informan;21/01/2022 0:00:00;02/03/2022 15:21:24;17/06/2022 7:00:12;12;2;24
3819;05 CoCe20;Tetuán;Cuatro Caminos;Ejecutado;Avenida del General Perón, 21;Aparcamiento;Aparcamiento privado rotación;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;nov-22;16/11/2022 23:00:00;02/03/2022 15:21:24;22/11/2022 7:40:58;06;2;24
3820;12 CoCe20;Usera;Orcasur;Ejecutado;ES Avenida de Andalucía 38 - Carretera A-4 PK6.70 D;Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;Julio -22;14/07/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 12:52:54;12;2;24
3822;18 CoCe20;Hortaleza;Apostol Santiago;Ejecutado;SEDE NATURGY, Av San Luis, 77;Aparcamiento;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;Convenio cesión;feb-22;16/02/2022 23:00:00;02/03/2022 15:21:24;07/09/2023 11:56:59;16;5;de 6 a 24 h
3823;20 CoCe20;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Atolón 98 (Mercamadrid), Calle 29.;Mercamadrid;-;3;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;DRIVE THE CITY;Convenio cesión;abr-22;24/04/2022 22:00:00;02/03/2022 15:21:24;08/09/2023 11:14:33;18;1;24
3824;15 CoCe20;Ciudad Lineal;Ventas;Ejecutado;Estación de Servicio SUDEL, Calle Ricardo Ortiz, 44;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;Sudel;Convenio cesión;ene-23;19/01/2023 23:00:00;02/03/2022 15:21:24;07/09/2023 11:58:24;15;1;24
3825;17 CoCe20;Ciudad Lineal;Colina;Ejecutado;ES Calle Arturo Soria, 175;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;ene-22;25/01/2022 0:00:00;02/03/2022 15:21:24;07/09/2023 12:01:34;15;7;24
3826;16 CoCe20;Ciudad Lineal;San Pascual;Ejecutado;Calle Verdaguer y García 5 (Ipark-Verdaguer ampliación);Aparcamiento;;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;may-22;02/05/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:56:59;15;5;24
3827;14 CoCe20;Moratalaz;Marroquina;Ejecutado;CRE Moratalaz Glorieta del Corregidor Sancho de Córdoba;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;Julio-22;14/07/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:56:59;14;3;24
3829;23 CoCe20;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Avenida Mayorazgo, 20;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GALP;Convenio cesión;ene-23;09/01/2023 23:00:00;02/03/2022 15:21:24;17/02/2023 8:29:15;18;1;24
3830;27 CoCe20;San Blas - Canillejas;Simancas;Ejecutado;Avenida Arcentales, 7;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GALP;Convenio cesión;ene-23;09/01/2023 23:00:00;02/03/2022 15:21:24;17/02/2023 8:30:11;20;1;24
3831;26 CoCe20;San Blas - Canillejas;Simancas;Ejecutado;Calle Alcalá 510 (CRED San Blas);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;Julio-22;14/07/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:58:24;20;1;24
3832;28 CoCe20;San Blas - Canillejas;Arcos;Ejecutado;Avenida Canillejas a Vicálvaro, 80;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GALP;Convenio cesión;sept-22;15/09/2022 22:00:00;02/03/2022 15:21:24;10/10/2022 6:58:48;20;4;24
3833;29 CoCe20;San Blas - Canillejas;Rosas;Ejecutado;Avenida Canillejas a Vicálvaro, 147;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;Cerdeira;Convenio cesión;mar-21;17/03/2022 23:00:00;02/03/2022 15:21:24;12/01/2023 8:39:23;20;5;24
3834;24 CoCe20;Villa de Vallecas;Ensanche de Vallecas;Ejecutado;Calle Alto del Retiro, s/n;Estación de servicio;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;21/01/2022 informan;21/01/2022 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;18;3;24
3836;30 CoCe20;San Blas - Canillejas;Rejas;Ejecutado;CENTRO DE OPERACIONES NATURGY, Calle Deyanira, 10;Aparcamiento;-;1;50 KW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;Convenio cesión;may-22;09/05/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:58:24;20;6;24
3838;31 CoCe20;San Blas - Canillejas;Rejas;Ejecutado;Calle Nanclares de Oca, 5-17;Aparcamiento;-;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;Convenio cesión;ago-21;05/08/2021 22:00:00;02/03/2022 15:21:24;17/06/2022 7:02:25;20;6;
3839;21 CoCe20;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;ESTACIÓN DE SUMINISTRO GNC (CTM), Avenida Eje Central, 7;Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;NATURGY;Convenio cesión;ago-22;01/08/2022 22:00:00;02/03/2022 15:21:24;07/09/2023 11:56:59;18;1;24
3840;01 VP;Centro;Justicia;Ejecutado;Calle Génova 24;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;mar-18;16/03/2018 0:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;01;4;24
3841;31 PropDG;Villaverde;San Cristóbal;Ejecutado;Calle Godella 116;Vía pública;;3;2 equipos 100 kW CCS/Chademo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;TOTALENERGIES;Concesión demanial;ago-24;06/08/2024 22:00:00;02/03/2022 15:21:24;28/08/2024 8:23:42;17;2;24
3843;26 VP;Salamanca;Guindalera;Ejecutado;Calle de Roberto Domingo, 4;Vía pública;;2;1 equipo de 150 kW (DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A)) y 1 equipo de 50 kW (DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW));REPSOL;Convenio vía pública;dic-22;30/11/2022 23:00:00;02/03/2022 15:21:24;16/01/2023 12:43:31;04;4;24
3858;12 PRIV;Tetuán;Almenara;Ejecutado;Calle San Aquilino, 1 B;Aparcamiento;Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;Iniciativa privada;21/10/2021;20/10/2021 22:00:00;02/03/2022 15:21:24;27/04/2022 10:43:57;06;4;
3859;13 PRIV;Chamartín;Prosperidad;Ejecutado;Avenida de América 9 A, planta -3;Aparcamiento;Iniciativa privada;2;50 kW 2 conectores CC (CCS/Chademo);IBERDROLA;Iniciativa privada;16/07/2021;15/07/2021 22:00:00;02/03/2022 15:21:24;28/04/2022 12:42:55;05;2;
3863;7 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Avda. de Madrid - Aparcamiento Este del Mercado Central de Pescados (Parcela C2);Mercamadrid;;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;;Acuerdo bilateral;jun-22;27/06/2022 22:00:00;17/06/2022 7:19:00;27/10/2022 10:42:43;18;18;24
3865;1 CoCe22;Fuencarral - El Pardo;Pilar;Ejecutado;CENTRO COMERCIAL MADRID 2 - LA VAGUADA. Av. de Monforte de Lemos, 36;Aparcamiento;;2;DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW);CC LA VAGUADA;Convenio cesión;feb-23;15/02/2023 23:00:00;17/06/2022 11:04:15;08/09/2023 10:03:10;08;08;de 6:00 a 1:00 a.m.
4265;8 MerM;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Avda. de Madrid - Aparcamiento Este del Mercado Central  de Pescados (Parcela C2)  Mercamadrid.;Mercamadrid;;1;150 kW DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A);;Acuerdo bilateral;nov-22;31/10/2022 23:00:00;17/06/2022 7:22:02;21/11/2022 15:34:01;18;18;24
4267;2 CoCe22;Fuencarral - El Pardo;El Goloso;Ejecutado;CAMPUS CANTOBLANCO – RECTORADO;Aparcamiento;;2;DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW);UAM;Convenio cesión;nov-23;20/11/2023 23:00:00;17/06/2022 11:12:42;04/12/2023 7:47:35;08;08;24
4269;5 CoCe22;Barajas;Corralejos;Ejecutado;C/Vía Dublín s/n. Club de golf Olivar de la Hinojosa.;Aparcamiento;;2;DC-CCS Combo 2 (50kW) y CHAdeMO (50kW). AC- Tipo 2 (22kW);BLAUDRIVE;Convenio Cesión;ene-23;30/01/2023 23:00:00;24/06/2022 6:57:35;31/01/2023 7:18:52;21;21;de 7:30h a 21:00h
4270;8 CoCe22;Usera;Moscardó;Ejecutado;Calle Amparo Usera, 46. Mercado Usera;Mercado municipal;;1;DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW);BLAUDRIVE;Convenio Cesión;;;24/06/2022 7:05:24;13/11/2023 14:15:56;12;12;24
4275;16 CoCe22;Latina;Aluche;Ejecutado;Ctra A-5, Km 5.4. Estación de Servicio El Batán;Estación de servicio;;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio Cesión;enero-24;30/01/2024 23:00:00;24/06/2022 7:49:04;04/03/2024 11:51:08;10;10;24
4280;29 CoCe22;Ciudad Lineal;San Juan Bautista;Ejecutado;Hospital Vithas Clinsa SA. Calle de Ramírez de Arellano, 2;Aparcamiento;;1;DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW);ENDESA X SERVICIOS S.L.;Convenio Cesión;marzo-24;10/03/2024 23:00:00;23/08/2022 7:30:47;21/03/2024 14:30:31;15;15;
4281;34 CoCe22;Salamanca;Castellana;Ejecutado;C.C. ABC SERRANO. Calle Serrano, 61;Aparcamiento;;1;Conectores: DC- CCS Combo 2, 50 kW y CHAdeMO 50 kW.  Toma: AC- Tipo 2, 22 kW;ENDESA X SERVICIOS S.L.;Convenio Cesión;noviembre-23;05/11/2023 23:00:00;23/08/2022 7:40:46;21/03/2024 14:38:03;04;04;
4662;14 PRIV;Villa de Vallecas;Casco Histórico de Vallecas;Ejecutado;Calle 29. Mercamadrid;Aparcamiento;Iniciativa privada;1;180 kW 2 conectores CC (CCS);DRIVE THE CITY;Iniciativa privada;abr-22;24/04/2022 22:00:00;28/04/2022 12:46:34;21/11/2022 15:35:01;18;18;24
4663;3 CoCe22;Fuencarral - El Pardo;El Goloso;Ejecutado;CAMPUS CANTOBLANCO – DERECHO;Aparcamiento;;2;DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) - AC- Tipo 2 (22kW);UAM;Convenio cesión;nov-23;20/11/2023 23:00:00;17/06/2022 11:14:10;04/12/2023 7:46:59;08;08;24
4664;6 CoCe22;Puente de Vallecas;San Diego;Ejecutado;Calle Martínez de la Riva, 4. Mercado Puente de Vallecas;Mercado municipal;;1;DC-CCS Combo 2 (50kW) y CHAdeMO (50kW) AC- Tipo 2 (22kW);BLAUDRIVE;Convenio Cesión;jul-23;05/07/2023 22:00:00;24/06/2022 7:01:08;02/02/2024 8:21:26;13;13;De lunes a sábados, de 9:00h – 21:30h
5464;20 CoCe22;Chamartín;El Viso;Ejecutado;E.S. ESMO, S.A. Calle María de Molina 21;Estación de servicio;;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio Cesión;enero-24;30/01/2024 23:00:00;24/06/2022 7:57:55;04/03/2024 11:51:44;05;05;24
6667;05 EMT;Centro;Sol;Ejecutado;Calle Alcalá 17. Parking de Canalejas.;Aparcamiento;Aparcamiento;12;4 equipos 400 kW, 4 equipos 200 kW, 4 equipos 50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;EMT;nov-22;07/11/2022 23:00:00;20/12/2022 8:04:03;08/09/2023 10:39:25;01;01;24
6668;33 CoCe20;Fuencarral - El Pardo;Peñagrande;Ejecutado;ES Cardenal Herrera Oria. Avenida Cardenal Herrera Oria 290;Estación de Servicio;;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;oct - 2023;09/10/2023 22:00:00;27/02/2023 12:05:31;15/01/2024 13:03:49;08;08;24
6673;06 EMT;Salamanca;Recoletos;Ejecutado;Paseo Recoletos 4;Aparcamiento;Aparcamiento público rotación. EMT;2;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;EMT;EMT;jun-24;20/06/2024 22:00:00;24/06/2024 7:16:21;24/06/2024 7:16:21;04;04;24
