ID Cámara,Tipo,Ubicación,Resolución,Zoom Optico,Año Adquisición
CAM101,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM102,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM103,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM104,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM105,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2015"
CAM106,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM107,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM108,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM109,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM110,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM111,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM112,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM113,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM114,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM115,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM116,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM117,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM118,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM119,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM120,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM121,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM122,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM123,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM124,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM125,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM126,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM127,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM128,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM129,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM130,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM131,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM132,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM133,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM134,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM201,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM202,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM203,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM204,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM205,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM206,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM207,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM208,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM209,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM210,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM211,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM212,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM213,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM214,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM215,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM216,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM217,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM218,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM219,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM220,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM221,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM222,FIJA,CENTRO SUR,1920x1080,0x,"2015"
CAM223,DOMO,CENTRO SUR,1280x720,40x,"2020"
CAM224,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM225,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM226,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM227,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM228,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM229,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM230,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM231,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM232,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM233,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM234,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM235,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM301,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM302,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM303,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM304,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM305,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM306,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM307,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM308,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM309,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM310,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM311,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM312,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM313,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM314,DOMO,PLAZA MAYOR,1280x720,30x,"2016"
CAM315,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM316,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM317,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM318,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM319,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM320,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM321,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM322,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM323,DOMO,PLAZA MAYOR,1280x720,18x,"2016"
CAM324,FIJA,PLAZA MAYOR,1280x720,0x,"2016"
CAM325,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM326,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM327,FIJA,PLAZA MAYOR,1280x720,0x,"2016"
CAM328,FIJA,PLAZA MAYOR,1280x720,0x,"2016"
CAM329,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM330,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM331,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM332,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM333,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM334,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM335,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM336,FIJA,PLAZA MAYOR,1920x1080,0x,"2016"
CAM337,FIJA,PLAZA MAYOR,1280x720,0x,"2016"
CAM401,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM402,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM403,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM404,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM405,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM406,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM407,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM408,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM409,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM410,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM411,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM412,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM413,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM414,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM415,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM416,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM417,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM418,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM419,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM420,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM421,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM422,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM423,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM424,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM425,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM426,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM427,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM428,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM429,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM430,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM431,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM432,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM433,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM434,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM435,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM436,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM437,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM438,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM439,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM440,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM441,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM442,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM443,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM444,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM445,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM446,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM447,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM448,DOMO,LAVAPIES,1920x1080,40x,"2020"
CAM449,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM450,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM451,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM452,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM453,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM454,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM455,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM456,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM457,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM458,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM459,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM460,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM461,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM462,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM463,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM464,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM465,DOMO,LAVAPIES,1920x1080,40x,"2022"
CAM501,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM502,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM503,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM504,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM505,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM506,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM507,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM508,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM509,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM510,FIJA,MUSEO ARTE PUBLICO,1280x960,0x,"2016"
CAM601,DOMO,AZCA,1280x720,18x,"2015"
CAM602,DOMO,AZCA,1280x720,18x,"2015"
CAM603,FIJA,AZCA,1280x960,0x,"2015"
CAM604,DOMO,AZCA,1280x720,18x,"2015"
CAM605,DOMO,AZCA,1280x720,18x,"2015"
CAM606,DOMO,AZCA,1280x720,18x,"2015"
CAM607,FIJA,AZCA,1280x960,0x,"2015"
CAM608,DOMO,AZCA,1280x720,18x,"2015"
CAM609,DOMO,AZCA,1280x720,18x,"2015"
CAM610,DOMO,AZCA,1280x720,18x,"2015"
CAM611,FIJA,AZCA,1280x960,0x,"2015"
CAM612,DOMO,AZCA,1280x720,18x,"2015"
CAM613,DOMO,AZCA,1280x720,18x,"2015"
CAM614,DOMO,AZCA,1280x720,18x,"2015"
CAM615,DOMO,AZCA,1280x720,18x,"2015"
CAM616,DOMO,AZCA,1280x720,18x,"2015"
CAM617,FIJA,AZCA,1280x960,0x,"2015"
CAM618,DOMO,AZCA,1280x720,18x,"2015"
CAM619,DOMO,AZCA,1280x720,18x,"2015"
CAM620,DOMO,AZCA,1280x720,18x,"2015"
CAM621,FIJA,AZCA,1280x960,0x,"2015"
CAM622,DOMO,AZCA,1280x720,18x,"2015"
CAM623,DOMO,AZCA,1280x720,18x,"2015"
CAM624,FIJA,AZCA,1280x960,0x,"2015"
CAM625,DOMO,AZCA,1280x720,18x,"2015"
CAM626,DOMO,AZCA,1280x720,18x,"2015"
CAM627,DOMO,AZCA,1280x720,18x,"2015"
CAM628,FIJA,AZCA,1280x960,0x,"2015"
CAM629,DOMO,AZCA,1280x720,18x,"2015"
CAM630,DOMO,AZCA,1280x720,18x,"2015"
CAM631,DOMO,AZCA,1280x720,18x,"2015"
CAM632,DOMO,AZCA,1280x720,18x,"2015"
CAM633,DOMO,AZCA,1280x720,18x,"2015"
CAM634,FIJA,AZCA,1280x960,0x,"2015"
CAM635,FIJA,AZCA,1280x960,0x,"2015"
CAM636,DOMO,AZCA,1280x720,18x,"2015"
CAM637,DOMO,AZCA,1280x720,18x,"2015"
CAM638,FIJA,AZCA,1280x960,0x,"2015"
CAM639,DOMO,AZCA,1280x720,18x,"2015"
CAM640,DOMO,AZCA,1280x720,18x,"2015"
CAM641,FIJA,AZCA,1280x960,0x,"2015"
CAM642,DOMO,AZCA,1280x720,18x,"2015"
CAM643,FIJA,AZCA,1280x960,0x,"2015"
CAM644,DOMO,AZCA,1280x720,18x,"2015"
CAM645,DOMO,AZCA,1280x720,18x,"2015"
CAM646,FIJA,AZCA,1280x960,0x,"2015"
CAM647,DOMO,AZCA,1280x720,18x,"2015"
CAM648,DOMO,AZCA,1280x720,18x,"2015"
CAM649,DOMO,AZCA,1280x720,18x,"2015"
CAM650,FIJA,AZCA,1280x960,0x,"2015"
CAM651,DOMO,AZCA,1280x720,18x,"2015"
CAM652,DOMO,AZCA,1280x720,18x,"2015"
CAM653,DOMO,AZCA,1280x720,18x,"2015"
CAM654,DOMO,AZCA,1280x720,18x,"2015"
CAM655,FIJA,AZCA,1280x960,0x,"2015"
CAM701,DOMO,TETUAN,1920x1080,40x,"2020"
CAM702,DOMO,TETUAN,1920x1080,40x,"2020"
CAM703,DOMO,TETUAN,1920x1080,40x,"2020"
CAM704,DOMO,TETUAN,1920x1080,40x,"2020"
CAM705,DOMO,TETUAN,1920x1080,40x,"2020"
CAM706,DOMO,TETUAN,1920x1080,40x,"2020"
CAM707,DOMO,TETUAN,1920x1080,40x,"2020"
CAM708,DOMO,TETUAN,1920x1080,40x,"2020"
CAM709,DOMO,TETUAN,1920x1080,40x,"2020"
CAM710,DOMO,TETUAN,1920x1080,40x,"2020"
CAM711,DOMO,TETUAN,1920x1080,40x,"2020"
CAM712,DOMO,TETUAN,1920x1080,40x,"2020"
CAM713,DOMO,TETUAN,1920x1080,40x,"2020"
CAM714,DOMO,TETUAN,1920x1080,40x,"2020"
CAM715,FIJA,TETUAN,1920x1080,0x,"2020"
CAM716,DOMO,TETUAN,1920x1080,40x,"2020"
CAM717,DOMO,TETUAN,1920x1080,40x,"2020"
CAM718,DOMO,TETUAN,1920x1080,40x,"2020"
CAM719,DOMO,TETUAN,1920x1080,40x,"2020"
CAM801,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM802,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM803,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM804,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM805,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM806,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM807,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM808,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM809,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM810,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM811,FIJA,VALLECAS,1920x1080,0x,"2020"
CAM812,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM813,FIJA,VALLECAS,1920x1080,0x,"2020"
CAM814,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM815,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM816,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM817,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM818,FIJA,VALLECAS,1920x1080,0x,"2020"
CAM819,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM820,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM821,FIJA,VALLECAS,1920x1080,0x,"2020"
CAM822,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM823,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM824,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM825,DOMO,VALLECAS,1920x1080,40x,"2020"
CAM901,FIJA,MARCONI,1920x1080,0x,"2022"
CAM902,FIJA,MARCONI,1920x1080,0x,"2022"
CAM903,FIJA,MARCONI,1920x1080,0x,"2022"
CAM904,FIJA,MARCONI,1920x1080,0x,"2022"
CAM905,FIJA,MARCONI,1920x1080,0x,"2022"
CAM906,FIJA,MARCONI,1920x1080,0x,"2022"
CAM907,FIJA,MARCONI,1920x1080,0x,"2022"
CAM908,FIJA,MARCONI,1920x1080,0x,"2022"
CAM909,FIJA,MARCONI,1920x1080,0x,"2022"
CAM910,FIJA,MARCONI,1920x1080,0x,"2022"
CAM911,FIJA,MARCONI,1920x1080,0x,"2022"
CAM912,FIJA,MARCONI,1920x1080,0x,"2022"
CAM913,FIJA,MARCONI,1920x1080,0x,"2022"
CAM914,FIJA,MARCONI,1920x1080,0x,"2022"
CAM915,FIJA,MARCONI,1920x1080,0x,"2022"
CAM916,FIJA,MARCONI,1920x1080,0x,"2022"
CAM917,FIJA,MARCONI,1920x1080,0x,"2022"
CAM918,FIJA,MARCONI,1920x1080,0x,"2022"
CAM919,FIJA,MARCONI,1920x1080,0x,"2022"
CAM920,FIJA,MARCONI,1920x1080,0x,"2022"
CAM921,FIJA,MARCONI,1920x1080,0x,"2022"
CAM922,FIJA,MARCONI,1920x1080,0x,"2022"
CAM923,FIJA,MARCONI,1920x1080,0x,"2022"
CAM924,FIJA,MARCONI,1920x1080,0x,"2022"
CAM1001,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1002,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1003,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1004,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1005,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1006,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1007,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1008,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1009,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1010,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1011,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1012,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1013,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1014,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1015,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1016,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1017,DOMO,CHUECA,1920x1080,40x,"2022"
CAM1018,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1019,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1020,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1021,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1022,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1023,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1024,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1025,FIJA,CHUECA,1920x1080,0x,"2022"
CAM1026,FIJA,CHUECA,1920x1080,0x,"2022"
